SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
3215,03/03/2020,"Berkeley, CA",US,2020-03-03T23:53:03,1.0,0.0,0.0
3378,03/04/2020,"Berkeley, CA",US,2020-03-03T23:53:03,1.0,0.0,0.0
3546,03/05/2020,"Berkeley, CA",US,2020-03-03T23:53:03,1.0,0.0,0.0
3734,03/06/2020,"Berkeley, CA",US,2020-03-03T23:53:03,1.0,0.0,0.0
