Country,Confirmed,Deaths,Recovered,numDates
Grenada,159,1,155,402
Mozambique,69762,814,64448,402
Samoa,3,0,2,402
Syria,22389,1559,16283,402
Timor-Leste,2048,3,972,402
Belize,12631,322,12193,401
Laos,511,0,49,400
Libya,176254,3010,161676,400
Diamond Princess,712,13,699,399
Guinea-Bissau,3731,67,3267,399
Mali,13722,476,8313,399
Saint Kitts and Nevis,44,0,44,399
West Bank and Gaza,293466,3201,267346,398
Burma,142740,3207,131945,397
MS Zaandam,9,2,7,396
Botswana,46600,702,44740,394
Burundi,3884,6,773,393
Sierra Leone,4046,79,3045,393
Malawi,34031,1147,31953,391
South Sudan,10553,114,10312,388
Sao Tome and Principe,2299,35,2239,387
Yemen,6220,1207,2674,383
Comoros,3829,146,3650,363
Tajikistan,13308,90,13218,363
Lesotho,10728,316,6267,350
Solomon Islands,20,0,19,198
Marshall Islands,4,0,4,182
Vanuatu,4,1,3,169
Micronesia,1,0,1,97
